YEAR,WEEK OF YEAR,MEAN,SCORE
2008,0,49.35,9
2008,1,47.653,9
2008,2,45.435,10
2008,3,46.217,10
2008,4,45.997,10
2008,5,46.94,9
2008,6,48.542,9
2008,7,48.864,9
2008,8,51.322,8
2008,9,50.459,8
2008,10,52.772,7
2008,11,50.45,8
2008,12,52.661,7
2008,13,50.646,8
2008,14,53.383,7
2008,15,54.945,7
2008,16,53.038,7
2008,17,58.574,5
2008,18,56.234,6
2008,19,63.813,4
2008,20,60.244,5
2008,21,56.005,6
2008,22,58.999,5
2008,23,62.973,4
2008,24,67.695,2
2008,25,63.682,4
2008,26,64.132,4
2008,27,67.18,3
2008,28,66.448,3
2008,29,64.317,4
2008,30,64.745,3
2008,31,65.727,3
2008,32,65.865,3
2008,33,65.436,3
2008,34,67.629,2
2008,35,66.608,3
2008,36,63.39,4
2008,37,62.408,4
2008,38,63.171,4
2008,39,63.358,4
2008,40,58.718,5
2008,41,57.905,6
2008,42,58.695,5
2008,43,58.378,6
2008,44,54.982,7
2008,45,55.091,7
2008,46,54.394,7
2008,47,52.929,7
2008,48,50.496,8
2008,49,47.51,9
2008,50,43.008,11
2008,51,45.096,10
2008,52,44.815,10
2009,0,45.366,10
2009,1,44.835,10
2009,2,51.237,8
2009,3,53.824,7
2009,4,46.704,9
2009,5,50.56,8
2009,6,44.751,10
2009,7,48.049,9
2009,8,52.583,7
2009,9,50.911,8
2009,10,47.417,9
2009,11,53.221,7
2009,12,51.784,8
2009,13,51.874,8
2009,14,52.614,7
2009,15,52.576,7
2009,16,60.309,5
2009,17,53.516,7
2009,18,60.291,5
2009,19,59.941,5
2009,20,59.745,5
2009,21,58.991,5
2009,22,59.097,5
2009,23,59.879,5
2009,24,61.807,4
2009,25,61.865,4
2009,26,64.411,4
2009,27,62.718,4
2009,28,66.153,3
2009,29,65.078,3
2009,30,64.1,4
2009,31,63.586,4
2009,32,63.777,4
2009,33,63.049,4
2009,34,65.869,3
2009,35,67.693,2
2009,36,64.015,4
2009,37,64.107,4
2009,38,63.874,4
2009,39,60.592,5
2009,40,54.624,7
2009,41,61.373,5
2009,42,58.548,5
2009,43,55.058,7
2009,44,55.115,7
2009,45,51.639,8
2009,46,49.004,9
2009,47,50.57,8
2009,48,46.395,10
2009,49,46.123,10
2009,50,49.291,9
2009,51,46.133,10
2009,52,48.02,9
2010,0,49.666,8
2010,1,48.736,9
2010,2,50.962,8
2010,3,48.862,9
2010,4,48.642,9
2010,5,50.294,8
2010,6,48.221,9
2010,7,51.846,8
2010,8,51.314,8
2010,9,49.728,8
2010,10,48.81,9
2010,11,54.424,7
2010,12,52.419,8
2010,13,51.521,8
2010,14,52.437,8
2010,15,51.882,8
2010,16,52.356,8
2010,17,54.29,7
2010,18,56.607,6
2010,19,54.819,7
2010,20,55.846,6
2010,21,55.144,7
2010,22,61.29,5
2010,23,60.462,5
2010,24,60.044,5
2010,25,60.313,5
2010,26,62.309,4
2010,27,61.593,4
2010,28,66.144,3
2010,29,62.616,4
2010,30,60.813,5
2010,31,60.737,5
2010,32,60.615,5
2010,33,62.543,4
2010,34,63.658,4
2010,35,60.97,5
2010,36,59.978,5
2010,37,59.513,5
2010,38,61.05,5
2010,39,66.914,3
2010,40,58.838,5
2010,41,61.885,4
2010,42,57.907,6
2010,43,57.428,6
2010,44,59.248,5
2010,45,52.489,8
2010,46,52.627,7
2010,47,45.455,10
2010,48,46.341,10
2010,49,52.456,8
2010,50,52.496,8
2010,51,52.1,8
2010,52,46.575,9
2011,0,45.555,10
2011,1,44.906,10
2011,2,47.898,9
2011,3,51.283,8
2011,4,49.888,8
2011,5,47.447,9
2011,6,50.084,8
2011,7,48.955,9
2011,8,45.131,10
2011,9,49.268,9
2011,10,52.089,8
2011,11,52.673,7
2011,12,48.775,9
2011,13,55.679,6
2011,14,51.094,8
2011,15,52.882,7
2011,16,56.066,6
2011,17,55.578,6
2011,18,60.037,5
2011,19,55.039,7
