YEAR,WEEK_IN_YEAR,PRICE,EFFECTIVE_VOLUME,AVERAGE_WEIGHT,WEIGHTS_IMPACTING
2010,2,0.87,298575,6.342857143,"[10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,3,0.91,989175,6.323809524,"[8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,4,0.9,1886225,6.333333333,"[8, 9, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,5,0.95,1163025,6.342857143,"[8, 9, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,6,0.73,4447450,6.342857143,"[8, 9, 8, 9, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,7,0.81,1327225,6.352380952,"[8, 9, 8, 9, 9, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,8,0.98,1502400,6.333333333,"[8, 9, 8, 9, 9, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,9,0.97,2904275,6.333333333,"[8, 9, 8, 9, 9, 8, 9, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,10,0.97,3648400,6.342857143,"[8, 9, 8, 9, 9, 8, 9, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
2010,11,0.92,4641025,6.342857143,"[8, 9, 8, 9, 9, 8, 9, 8, 8, 10, 10, 8, 7, 9, 8, 10, 9, 7, 8, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9, 9, 7, 8, 8, 7, 7, 5, 7, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 7, 5, 5, 7, 7, 8, 9, 8, 10, 10, 9, 10, 9]"
