Date,AveragePrice
2017-12-31,0.98
2017-12-24,1.18
2017-12-17,1.07
2017-12-10,1.03
2017-12-03,1.09
2017-11-26,1.24
2017-11-19,1.17
2017-11-12,1.15
2017-11-05,1.19
2017-10-29,1.29
2017-10-22,1.44
2017-10-15,1.58
2017-10-08,1.65
2017-10-01,1.64
2017-09-24,1.62
2017-09-17,1.57
2017-09-10,1.56
2017-09-03,1.57
2017-08-27,1.47
2017-08-20,1.41
2017-08-13,1.33
2017-08-06,1.33
2017-07-30,1.32
2017-07-23,1.31
2017-07-16,1.33
2017-07-09,1.17
2017-07-02,1.21
2017-06-25,1.17
2017-06-18,1.18
2017-06-11,1.21
2017-06-04,1.24
2017-05-28,1.28
2017-05-21,1.26
2017-05-14,1.19
2017-05-07,1.09
2017-04-30,1.18
2017-04-23,1.18
2017-04-16,1.23
2017-04-09,1.21
2017-04-02,1.21
2017-03-26,1.24
2017-03-19,1.25
2017-03-12,1.22
2017-03-05,1.13
2017-02-26,0.99
2017-02-19,0.99
2017-02-12,0.87
2017-02-05,0.77
2017-01-29,0.96
2017-01-22,0.94
2017-01-15,0.98
2017-01-08,0.99
2017-01-01,0.89
