Week,Average Price
Jan-6-2013,0.93
Jan-13-2013,0.99
Jan-20-2013,0.95
Jan-27-2013,0.98
Feb-3-2013,0.82
Feb-10-2013,0.86
Feb-17-2013,0.96
Feb-24-2013,0.97
Mar-3-2013,0.94
Mar-10-2013,0.94
Mar-17-2013,0.93
Mar-24-2013,0.98
Mar-31-2013,1.02
Apr-7-2013,0.98
Apr-14-2013,0.98
Apr-21-2013,0.99
Apr-28-2013,1.02
May-5-2013,0.90
May-12-2013,0.97
May-19-2013,1.01
May-26-2013,0.97
Jun-2-2013,1.03
Jun-9-2013,1.02
Jun-16-2013,1.03
Jun-23-2013,1.01
Jun-30-2013,0.99
Jul-7-2013,1.02
Jul-14-2013,1.05
Jul-21-2013,1.06
Jul-28-2013,1.10
Aug-4-2013,1.13
Aug-11-2013,1.14
Aug-18-2013,1.18
Aug-25-2013,1.15
Sep-1-2013,1.07
Sep-8-2013,1.09
Sep-15-2013,1.10
Sep-22-2013,1.11
Sep-29-2013,1.15
Oct-6-2013,1.18
Oct-13-2013,1.19
Oct-20-2013,1.19
Oct-27-2013,1.15
Nov-3-2013,1.14
Nov-10-2013,1.12
Nov-17-2013,1.05
Nov-24-2013,1.18
Dec-1-2013,1.16
Dec-8-2013,1.05
Dec-15-2013,1.05
Dec-22-2013,1.12
Dec-29-2013,1.02
