Date,AveragePrice
2015-12-27,0.95
2015-12-20,0.98
2015-12-13,0.93
2015-12-06,0.89
2015-11-29,0.99
2015-11-22,0.96
2015-11-15,0.92
2015-11-08,0.97
2015-11-01,0.97
2015-10-25,1.04
2015-10-18,0.99
2015-10-11,1
2015-10-04,1.02
2015-09-27,1.03
2015-09-20,1.02
2015-09-13,1.03
2015-09-06,1.02
2015-08-30,1.07
2015-08-23,1.08
2015-08-16,1.05
2015-08-09,1.05
2015-08-02,1.09
2015-07-26,1.07
2015-07-19,1.07
2015-07-12,1.07
2015-07-05,1.04
2015-06-28,1.06
2015-06-21,1.02
2015-06-14,0.98
2015-06-07,1
2015-05-31,1.03
2015-05-24,1.04
2015-05-17,1.06
2015-05-10,1.02
2015-05-03,0.96
2015-04-26,1.07
2015-04-19,1.03
2015-04-12,1.02
2015-04-05,1.06
2015-03-29,1.04
2015-03-22,1.01
2015-03-15,1.04
2015-03-08,1.02
2015-03-01,0.97
2015-02-22,1.02
2015-02-15,1.03
2015-02-08,0.95
2015-02-01,0.89
2015-01-25,1.04
2015-01-18,1.03
2015-01-11,1.01
2015-01-04,0.95
