Week,California
Jan-03-2010,298575
Jan-10-2010,989175
Jan-17-2010,1886225
Jan-24-2010,1163025
Jan-31-2010,4447450
Feb-07-2010,1327225
Feb-14-2010,1502400
Feb-21-2010,2904275
Feb-28-2010,3648400
Mar-07-2010,4641025
Mar-14-2010,6434000
Mar-21-2010,7970000
Mar-28-2010,10286825
Apr-04-2010,9488325
Apr-11-2010,9888975
Apr-18-2010,11519325
Apr-25-2010,12878050
May-02-2010,14599175
May-09-2010,14226975
May-16-2010,14498000
May-23-2010,13619625
May-30-2010,17125500
Jun-06-2010,14011125
Jun-13-2010,17480250
Jun-20-2010,17734925
Jun-27-2010,18171025
Jul-04-2010,19740750
Jul-11-2010,14790750
Jul-18-2010,18851075
Jul-25-2010,20183825
Aug-01-2010,19492600
Aug-08-2010,18047500
Aug-15-2010,17194700
Aug-22-2010,15625250
Aug-29-2010,17200000
Sep-05-2010,18787700
Sep-12-2010,15229625
Sep-19-2010,17031300
Sep-26-2010,15175500
Oct-03-2010,9991875
Oct-10-2010,7537975
Oct-17-2010,10460200
Oct-24-2010,6151600
Oct-31-2010,6455475
Nov-07-2010,9459375
Nov-14-2010,3159225
Nov-21-2010,1523700
Nov-28-2010,489600
Dec-05-2010,926100
Dec-12-2010,188100
Dec-19-2010,11700
Dec-26-2010,45900
