YEAR,WEEK IN YEAR,VOLUME
2010,01,298575
2010,02,989175
2010,03,1886225
2010,04,1163025
2010,05,4447450
2010,06,1327225
2010,07,1502400
2010,08,2904275
2010,09,3648400
2010,10,4641025
2010,11,6434000
2010,12,7970000
2010,13,10286825
2010,14,9488325
2010,15,9888975
2010,16,11519325
2010,17,12878050
2010,18,14599175
2010,19,14226975
2010,20,14498000
2010,21,13619625
2010,22,17125500
2010,23,14011125
2010,24,17480250
2010,25,17734925
2010,26,18171025
2010,27,19740750
2010,28,14790750
2010,29,18851075
2010,30,20183825
2010,31,19492600
2010,32,18047500
2010,33,17194700
2010,34,15625250
2010,35,17200000
2010,36,18787700
2010,37,15229625
2010,38,17031300
2010,39,15175500
2010,40,9991875
2010,41,7537975
2010,42,10460200
2010,43,6151600
2010,44,6455475
2010,45,9459375
2010,46,3159225
2010,47,1523700
2010,48,489600
2010,49,926100
2010,50,188100
2010,51,11700
2010,52,45900
